stay_id,stay_added,start_date,end_date,duration,pet_total,service_type,owner_id,sitter_id,new_to_rover,booking_total_usd,postal_code
458279,2015-10-01 13:36:05,2015-10-02,2015-10-02,1,1,overnight-traveling,976085,657663,0,10,91750
312607,2015-10-01 13:37:01,2015-10-20,2015-10-25,5,1,overnight-boarding,587764,817261,0,75,32792
313556,2015-10-01 13:38:08,2015-10-05,2015-10-06,1,1,overnight-boarding,819582,333572,0,30,91381
307148,2015-10-01 13:38:40,2015-10-07,2015-10-12,5,1,overnight-boarding,81478,521702,0,125,22812
312801,2015-10-01 13:40:18,2015-12-06,2015-12-09,3,1,overnight-boarding,878664,525346,0,108,98040
457039,2015-10-01 13:43:09,2015-10-03,2015-10-03,1,1,overnight-traveling,426503,384415,0,25,80220
311718,2015-10-01 13:46:07,2015-11-05,2015-11-09,4,1,overnight-boarding,1023928,936448,1,100,89108
287806,2015-10-01 13:46:07,2015-12-22,2016-01-02,11,2,overnight-boarding,996557,758165,1,0,78239
312693,2015-10-01 13:47:10,2015-12-24,2016-01-03,10,1,overnight-boarding,982785,376468,0,350,60618
313546,2015-10-01 13:50:25,2015-10-01,2015-10-05,4,2,overnight-boarding,555131,1029540,0,184,38107
310413,2015-10-01 13:55:42,2015-10-03,2015-10-04,1,1,overnight-boarding,1042003,801324,1,28.35,75023
458506,2015-10-01 13:56:09,2015-10-08,2015-10-09,1,3,overnight-traveling,724897,270042,1,49,45069
458879,2015-10-01 14:00:31,2015-10-03,2015-10-05,2,1,overnight-traveling,649226,230249,0,90,78259
312279,2015-10-01 14:01:03,2015-10-07,2015-10-18,11,2,overnight-boarding,1043371,469953,1,264,75230
309225,2015-10-01 14:01:32,2015-10-16,2015-10-18,2,1,overnight-boarding,1016470,422445,1,70,2127
312283,2015-10-01 14:03:34,2015-09-30,2015-10-02,2,1,overnight-boarding,1033656,52356,0,50,34293
458197,2015-10-01 14:05:16,2015-10-16,2015-10-19,3,2,overnight-traveling,1042067,885274,1,100.8,59718
313566,2015-10-01 14:06:40,2015-10-01,2015-10-01,1,1,overnight-boarding,445604,718871,0,23,32805
313510,2015-10-01 14:07:25,2015-10-03,2015-10-04,1,2,overnight-boarding,484994,773519,0,30,43147
312341,2015-10-01 14:07:48,2015-10-31,2015-11-06,6,1,overnight-boarding,908957,446482,0,270,94518
308869,2015-10-01 14:10:05,2015-10-02,2015-10-04,2,1,overnight-boarding,1039112,713088,1,56.7,78704
458930,2015-10-01 14:12:10,2015-10-03,2015-10-04,1,3,overnight-traveling,370905,211390,0,75,95811
313569,2015-10-01 14:12:20,2015-10-09,2015-10-11,2,1,overnight-boarding,1018231,639774,1,50,2188
458667,2015-10-01 14:14:16,2015-10-01,2015-10-02,1,1,overnight-traveling,823681,657663,0,20,91750
313581,2015-10-01 14:14:40,2015-10-03,2015-10-04,1,1,overnight-boarding,919150,617593,0,32,60616
313587,2015-10-01 14:14:46,2015-10-01,2015-10-01,1,1,overnight-boarding,982534,424491,0,20,98126
458957,2015-10-01 14:16:46,2015-10-13,2015-10-14,1,2,overnight-traveling,831305,926723,0,45,98107
458965,2015-10-01 14:17:21,2015-10-17,2015-10-20,3,2,overnight-traveling,680172,556277,0,120,37179
313303,2015-10-01 14:17:55,2015-10-02,2015-10-04,2,1,overnight-boarding,670886,406661,0,50,30306
458966,2015-10-01 14:18:14,2015-10-30,2015-11-03,4,2,overnight-traveling,680172,556277,0,160,37179
458963,2015-10-01 14:18:49,2015-11-06,2015-11-08,2,2,overnight-traveling,870052,627596,0,84,78754
312994,2015-10-01 14:19:17,2015-12-29,2016-01-02,4,1,overnight-boarding,962801,700617,0,176,11787
312271,2015-10-01 14:21:51,2015-10-02,2015-10-03,1,1,overnight-boarding,1045822,598829,1,10.5,78613
311371,2015-10-01 14:23:11,2015-10-24,2015-10-25,1,1,overnight-boarding,64841,994331,0,30,90068
312558,2015-10-01 14:24:17,2015-10-01,2015-10-04,3,2,overnight-boarding,793235,783702,0,210,91405
313574,2015-10-01 14:25:09,2015-10-04,2015-10-04,1,1,overnight-boarding,1013449,599617,0,40,6475
313571,2015-10-01 14:25:46,2015-10-09,2015-10-11,2,1,overnight-boarding,976895,896153,0,40,19130
313595,2015-10-01 14:26:25,2015-10-03,2015-10-03,1,1,overnight-boarding,946394,88404,0,30,78660
311743,2015-10-01 14:27:10,2015-10-01,2015-10-04,3,1,overnight-boarding,609615,905197,0,60,63116
457914,2015-10-01 14:27:19,2015-10-15,2015-10-18,3,1,overnight-traveling,1040296,963956,1,90,7079
313538,2015-10-01 14:27:46,2015-10-16,2015-10-17,1,1,overnight-boarding,1006335,510448,0,28,29640
313579,2015-10-01 14:27:58,2015-10-02,2015-10-04,2,1,overnight-boarding,1024336,206729,0,56.48,33160
313170,2015-10-01 14:28:26,2015-11-26,2015-11-28,2,1,overnight-boarding,653566,207843,0,70,27603
310307,2015-10-01 14:29:31,2015-10-02,2015-10-04,2,1,overnight-boarding,992441,335728,0,0,92040
312310,2015-10-01 14:29:41,2015-12-22,2016-01-03,12,1,overnight-boarding,370777,359494,0,552,1701
458522,2015-10-01 14:30:15,2015-10-03,2015-10-03,1,1,overnight-traveling,1045081,687643,1,15.75,75214
458706,2015-10-01 14:31:53,2015-10-02,2015-10-04,2,1,overnight-traveling,998988,908922,1,50,55431
455987,2015-10-01 14:32:24,2015-12-22,2015-12-29,7,1,overnight-traveling,902202,49520,0,0,68127
312901,2015-10-01 14:32:45,2015-10-23,2015-10-25,2,1,overnight-boarding,302367,848,0,70,37214
313573,2015-10-01 14:34:16,2015-10-09,2015-10-10,1,1,overnight-boarding,953105,688991,0,60,80403
458237,2015-10-01 14:38:25,2015-10-03,2015-10-04,1,1,overnight-traveling,1030725,977804,0,19.95,22101
313322,2015-10-01 14:39:54,2015-11-06,2015-12-04,28,1,overnight-boarding,729055,626124,0,700,2056
310901,2015-10-01 14:40:08,2015-10-03,2015-10-07,4,1,overnight-boarding,767398,225789,0,140,75071
457550,2015-10-01 14:41:06,2015-10-03,2015-10-04,1,2,overnight-traveling,750448,582941,0,40,75252
453274,2015-10-01 14:43:29,2015-11-15,2015-11-22,7,1,overnight-traveling,1005346,253359,1,0,8096
305773,2015-10-01 14:48:47,2015-10-07,2015-10-12,5,1,overnight-boarding,586106,827879,0,75,32207
458976,2015-10-01 14:49:24,2015-10-01,2015-10-01,1,2,overnight-traveling,1032162,460307,0,20,75063
458261,2015-10-01 14:49:30,2015-10-06,2015-10-19,13,1,overnight-traveling,354219,482912,0,105,94118
313616,2015-10-01 14:50:46,2015-10-02,2015-10-03,1,1,overnight-boarding,541268,253408,0,25,32566
312852,2015-10-01 14:52:13,2015-10-17,2015-10-18,1,1,overnight-boarding,996351,52546,1,30,30068
313583,2015-10-01 14:53:12,2015-10-02,2015-10-13,11,1,overnight-boarding,1048172,64996,1,288.75,32643
458417,2015-10-01 14:53:22,2015-10-01,2015-10-04,3,1,overnight-traveling,993454,974621,1,84,78753
313585,2015-10-01 14:53:56,2015-10-02,2015-10-03,1,2,overnight-boarding,1045325,888472,0,48.3,17015
311959,2015-10-01 14:54:06,2015-10-05,2015-10-13,8,1,overnight-boarding,619218,419664,0,297,60130
312571,2015-10-01 14:55:39,2015-10-06,2015-10-07,1,1,overnight-boarding,1035792,829273,0,25,60625
310549,2015-10-01 14:55:54,2015-10-04,2015-10-17,13,1,overnight-boarding,461769,555480,0,392,20018
313241,2015-10-01 14:56:47,2015-10-30,2015-11-01,2,1,overnight-boarding,328611,1040792,0,0,92115
313617,2015-10-01 14:57:39,2015-10-02,2015-10-04,2,1,overnight-boarding,992441,505074,0,50,92020
303141,2015-10-01 14:58:57,2015-10-15,2015-10-18,3,1,overnight-boarding,619586,658966,0,125,80109
313620,2015-10-01 14:59:24,2015-10-16,2015-10-20,4,1,overnight-boarding,144864,980818,0,120,20002
313507,2015-10-01 15:01:39,2015-10-02,2015-10-04,2,1,overnight-boarding,27828,525912,0,70,20002
313624,2015-10-01 15:02:51,2015-10-05,2015-10-07,2,1,overnight-boarding,630061,123821,0,0,94080
310842,2015-10-01 15:03:30,2015-10-04,2015-10-09,5,1,overnight-boarding,35196,451450,1,150,22304
313378,2015-10-01 15:03:39,2015-11-06,2015-11-13,7,1,overnight-boarding,746246,242501,0,210,95949
312636,2015-10-01 15:04:29,2015-10-01,2015-10-03,2,1,overnight-boarding,1046459,1038660,1,58.8,84105
457693,2015-10-01 15:04:36,2015-10-01,2015-10-05,4,2,overnight-traveling,1025602,454872,1,200,30071
458979,2015-10-01 15:06:02,2015-10-02,2015-10-04,2,2,overnight-traveling,732202,574726,0,140,10591
313358,2015-10-01 15:07:07,2015-10-09,2015-10-10,1,1,overnight-boarding,1035358,191901,0,35,95051
